"inSALMO cell data file, Clear Creek site Restoration 3C",,,,
From J. White 12/4/2012,,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
612,1,1.452,0,I
613,0.504,1.195,0,I
614,0,1.553,0,I
615,1,1.374,0,I
616,0,1.64,0,I
617,1,4.003,0,I
618,1,1.046,0,I
619,0,1.595,0,I
620,0,1.593,0,I
621,0,2.084,0,I
622,0,1.6,0,I
623,1,1.271,0,I
624,0,1.018,0,I
625,0.464,2.882,0,I
626,1,1.641,0,I
627,0.45,0.655,0,I
628,1,0.88,0,I
629,0.165,1.099,0,I
630,1,0.705,0,I
631,0.994,0.87,0,I
632,0,1.177,0,I
633,0,1.335,0,I
634,0,1.132,0,I
635,0,1.248,0,I
636,0,1.609,0,I
637,0,1.147,0,I
638,0.625,2.014,0,I
639,1,0.826,0,I
640,0,1.36,0,I
641,1,0.648,0,I
642,0.375,0.684,0,I
643,0,0.968,0,I
644,0,1.077,0,I
645,0.122,1.041,0,I
646,0,0.68,0.009,I
647,0.257,0.986,0.079,I
648,0,0.687,0,I
649,0,0.798,0,I
650,0,0.539,0,I
651,1,0.662,0,I
652,0.687,0.691,0,I
653,0,0.863,0,I
654,0.931,0.638,0,I
655,0.109,1.057,0,I
656,0.99,1.029,0,I
657,0.762,1.648,0,I
658,0,0.742,0,I
659,0.766,1.725,0,I
660,0,1.23,0,I
661,0.401,1.552,0,I
662,0,1.118,0,I
663,1,0.734,0,I
664,0.796,0.527,0,I
665,0,0.704,0,I
666,0,0.595,0,I
667,0.596,0.612,0,I
668,0.738,1.071,0.758,I
669,0,0.646,0.218,I
670,0.757,1.46,1,I
671,0,1.13,1,I
672,0.183,1.599,0.981,I
673,0.702,1.283,0.03,I
674,0,1.661,0.001,I
675,0,1.073,0,I
676,0,0.846,0,I
677,0,0.722,0,I
678,0,0.787,0,I
679,0.146,0.79,0,I
680,0,1.05,0,I
681,0,0.951,0,I
682,0,1.287,0,I
683,0.204,0.984,0,I
684,0.306,0.828,0,I
685,0.98,0.82,0,I
686,0,0.923,0,I
687,0.126,1.017,0,I
688,0.541,1.328,0,I
689,0.442,1.235,0,I
690,1,1.046,0,I
691,0,0.941,0,I
692,0.229,1.294,0,I
693,1,1.034,0,I
694,0.363,0.823,0,I
695,0.287,0.895,0,I
696,0,1.037,0,I
697,0.141,2.747,0,I
698,0.482,1.52,0,I
699,0,0.553,0,I
700,0.33,0.743,0,I
701,0,1.37,0,I
702,0.543,1.096,0,I
703,0.408,0.942,0,I
704,0.719,1.418,0,I
705,0.92,1.083,0.008,I
706,1,0.881,0,I
707,0,0.781,0,I
708,0.251,0.938,0,I
709,0.238,0.893,0.64,I
710,1,0.767,0,I
711,0,1.001,0,I
712,0.267,0.855,0.003,I
713,0,1.326,0,I
714,0,8.508,0,I
715,1,4.835,0,I
716,0,4.092,0,I
717,0.469,0.864,0,I
718,0.895,1.553,0,I
719,1,0.867,0,I
720,0,0.99,0,I
721,0.763,1.061,0,I
722,0.367,1.986,0,I
723,0,1.933,0,I
724,0,1.156,0,I
725,0,1.723,0,I
726,0,1.555,0.095,I
727,0,10.612,0,I
728,0,8.555,0,I
729,0.509,8.825,0,I
730,0,13.653,0,I
731,0,12.32,0,I
732,0,2.703,0,I
733,0,0.628,0,I
734,0.048,1.279,0,I
735,0.819,0.882,0,I
736,0,2.779,0,I
737,0.066,4.128,0,I
738,1,1.375,0,I
739,0,1.921,0,I
740,0,1.882,0,I
741,0,1.91,0,I
742,0.494,1.619,0,I
743,1,0.972,0,I
744,0,1.195,0,I
745,0,1.121,0,I
746,0,2.74,0,I
747,0,1.348,0.014,I
748,0,9.217,0.212,I
749,0,1.868,0.503,I
750,0,0.949,0.051,I
751,0,1.464,0.232,I
752,0,1.237,0.01,I
753,0.481,1.248,0,I
754,0,1.204,0,I
755,0,1.151,0,I
756,0,0.631,0,I
757,0,0.783,0,I
758,0,0.905,0.006,I
759,0,0.995,0,I
760,1,0.749,0,I
761,1,1.132,0,I
762,0,0.788,0,I
763,0.591,0.637,0.005,I
764,0,0.728,0,I
765,0.398,0.86,0.559,I
766,0.74,0.585,0.075,I
767,0.755,0.545,0,I
768,0,0.706,0,I
769,0.89,0.533,0,I
770,0.222,0.721,0,I
771,0.58,0.452,0,I
772,0.168,0.374,0.058,I
773,0.561,0.749,0.478,I
774,0,1.515,0.951,I
775,0.499,0.521,0.176,I
776,0,0.499,0,I
777,0.592,0.55,0,I
778,0.222,0.603,0,I
779,0.847,0.788,0,I
780,0.079,0.708,0,I
781,0.611,0.867,0,I
782,0,0.74,0,I
783,0,1.046,0,I
784,0,7.957,0.955,I
785,0.263,3.705,0.549,I
786,0,3.929,0.229,I
787,0.099,0.628,0,I
788,0,0.791,0,I
789,0.868,0.542,0,I
790,0.134,0.596,0,I
791,0.711,0.64,0,I
792,0.055,0.577,0,I
793,0.145,0.802,0.048,I
794,0,1.026,0.22,I
795,0,1.207,0.003,I
796,0,1.716,0.447,I
797,0,1.154,0.007,I
798,0,0.748,0.492,I
799,0,1.513,0.518,I
800,1,0.747,0.999,I
801,0,1.218,0.516,I
